post_date,media_url,caption,comment count,number of likes
20/05/2018 22:10,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/33095230_1716570371712172_7843368631986552832_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=OrHPGzNZTicAX-J0WwY&edm=APU89FABAAAA&ccb=7-4&oh=1778330cc709a2bea1e12dfb1879fa31&oe=61816D4F&_nc_sid=86f79a&ig_cache_key=MTc4MzcwNDg1MjYzNjA1NzM4Mg%3D%3D.2-ccb7-4,Freya and dad out for a walk on a ☀️ SF day #dadlife,25424,115605
14/05/2018 5:59,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/32063829_187724818615635_2682905455214198784_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=1Y-NYVTSRP4AX8FWvkU&edm=APU89FABAAAA&ccb=7-4&oh=47b207ed91a18dc0b2ad79a10dc740c3&oe=6180E1B6&_nc_sid=86f79a&ig_cache_key=MTc3ODg2Nzg0Mzc1NzIyMzU3NA%3D%3D.2-ccb7-4,"Happy Mother’s Day, @nicole! Freya, @dolly and I are lucky to have you in our lives 😘",2223,59062
12/05/2018 2:59,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/31694940_309934726206582_1235130159359590400_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=6DnZW4sLSOIAX9qWIUf&edm=APU89FABAAAA&ccb=7-4&oh=f92fb68f023cde741d3f01220f4bc935&oe=6181D90D&_nc_sid=86f79a&ig_cache_key=MTc3NzMyNzUzNzE1MjgwMDM1OA%3D%3D.2-ccb7-4,"After 5,000ft of climbing up from the ocean @kingthenate and I reached the top of Kaloko Road. It may be the steepest single climb I’ve ever done. At the very top someone wrote “warrior” at the peak. It was a great ride but not one that I’m going to be doing anytime again soon 🤣 📷 by Nate",1638,842341
08/05/2018 0:51,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/31326460_202612777027423_7880586791349125120_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=nCRe6dN3q_cAX8-ZzgN&edm=APU89FABAAAA&ccb=7-4&oh=8e65be6aff03c39536024413ca2baa2d&oe=618257DF&_nc_sid=86f79a&ig_cache_key=MTc3NDM2NDE4NTYzNTk4MTE5MA%3D%3D.2-ccb7-4,"If you’re going to have a date night away from the kiddo this one tops them all! So happy to attend the #metgala with the beautiful @nicole.  #metgala2018, #heavenlybodies",1392,50075
05/05/2018 0:50,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/31326651_626456607691570_614299074878767104_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=bAfzOPYikhoAX_S_2IM&edm=APU89FABAAAA&ccb=7-4&oh=1735b2f7adf6c850e36c366a775d67bc&oe=6181DACD&_nc_sid=86f79a&ig_cache_key=MTc3MjE4OTAyMDQzNzIxMzY1Nw%3D%3D.2-ccb7-4,The force is strong with this one. Happy Star Wars Day and May the 4th be with you!,1387,50707
24/04/2018 0:50,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/30933697_153373338835044_4350410036686618624_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=eOfHfszaSmkAX9solKO&edm=APU89FABAAAA&ccb=7-4&oh=5f5aee25823d3b12c07cbc332db4f1db&oe=6181DDD3&_nc_sid=86f79a&ig_cache_key=MTc2NDIxNjcxMTg2NDc3MDc3NA%3D%3D.2-ccb7-4,"I believe in the power of routine to start your day and drive productivity. Every morning I get up, say hi to Freya and @nicole, exercise for an hour and then the essential part for any new parent: coffee! Ever since I was a barista in college I’ve loved the morning ritual of making an espresso. It’s simple, rewarding and literally energizing!",956,28499
31/03/2018 21:36,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/29414462_570676016637668_3125809569473757184_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=jQwbfStsxwAAX9oCMe_&edm=APU89FABAAAA&ccb=7-4&oh=e4ce1e48febcbbf4d495765c1c2054e2&oe=61813873&_nc_sid=86f79a&ig_cache_key=MTc0NzQ0ODk1ODE4OTQ2ODMyNg%3D%3D.2-ccb7-4,"One of the things I’ve had on my bucket list was to pass the first level of the Master Sommelier training (the introductory course). After many months of flash cards, practicing deductive tasting and the intro course I passed the test. The next level is the “certified” test which is much harder and requires you to blind taste wines, name what they are and pass a service test. I’m starting to study now so wish me luck!",931,25394
27/12/2017 3:50,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/26295363_377901445988371_4885087684982210560_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=a2xfaChRciAAX-XLC5S&edm=APU89FABAAAA&ccb=7-4&oh=88aa73d6ea295fa7077adb135f5b0361&oe=6182132E&_nc_sid=86f79a&ig_cache_key=MTY3ODc4MzQ0MTQwOTM1NzM3Mw%3D%3D.2-ccb7-4,"I hope everyone has enjoyed a restful holiday season. One of my favorite holiday traditions is cooking with @nicole. This year, we added to that tradition and created a #thingsorganizedneatly with some of our baking supplies, ingredients, and a few of our most tasty cookie creations! I hope you all have a warm and wonderful holiday season, enjoying your favorite traditions, and creating new ones, too.",812,20120
12/12/2017 17:52,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/25012085_1937638359820853_4622755136991657984_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Ooc8bDdMWjUAX8XP61k&edm=APU89FABAAAA&ccb=7-4&oh=f750cad698b4cee132470b6d94b27aa9&oe=61819743&_nc_sid=86f79a&ig_cache_key=MTY2ODMzNTY5MDg4OTU3MDQ2Mg%3D%3D.2-ccb7-4,"Now you can follow hashtags on Instagram! Following a hashtag is just like following a friend. To get started, search for a topic you’re interested in or tap on a hashtag from any post. When you find a hashtag you like, open the hashtag page and tap the follow button. You’ll begin seeing top posts from that hashtag in your feed and the latest stories in your stories bar. One of my favorite hashtags is #bookstagram. I’ve recently started posting about what I’m reading to connect with other book lovers. I just finished The Signal and the Noise by Nate Silver, an investigation into our ability to predict future events. I’m excited to learn what other people are reading by following #bookstagram.",559,11767
08/12/2017 17:52,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/24845213_1478190562300196_1277547406698741760_n.jpg?se=7&_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Xa20jc0cIZYAX_9MtK3&edm=APU89FABAAAA&ccb=7-4&oh=28452cc6dc50da7e4ca7c19aa29c25f4&oe=61823FC1&_nc_sid=86f79a&ig_cache_key=MTY2NTQzNjk3MDkwMzU4NzQ3NA%3D%3D.2-ccb7-4,"I’ve been lucky to be able to travel to beautiful places around the world on my bike. Last year I rode around Utah and the Grand Staircase National monument. We’re so lucky to have these places and if we don’t protect them it’s possible we won’t be able to share them with our children. Last week this administration ordered a reduction of the size of this monument by 50% - an unprecedented move for such a fragile place. Let’s not take for granted the things we as a country have fought so hard to earn and protect. The environment is something @nicole and I care about deeply. I hope, as a nation, we can find a way to preserve and protect our country’s beauty for generations to come.",562,19628
