Tenure(months),Deposit(Minimum),Deposit (Maximum),Deposit Rate (% per annum)
1,-,"49,999",0.0500
1,"50,001","249,999",0.0500
1,"250,000","499,999",0.0500
1,"500,000","999,999",0.0500
2,-,"49,999",0.0500
2,"50,001","249,999",0.0500
2,"250,000","499,999",0.0500
2,"500,000","999,999",0.0500
3,-,"49,999",0.0500
3,"50,001","249,999",0.0500
3,"250,000","499,999",0.0500
3,"500,000","999,999",0.0500
4,-,"49,999",0.0500
4,"50,001","249,999",0.0500
4,"250,000","499,999",0.0500
4,"500,000","999,999",0.0500
5,-,"49,999",0.0500
5,"50,001","249,999",0.0500
5,"250,000","499,999",0.0500
5,"500,000","999,999",0.0500
6,-,"49,999",0.0500
6,"50,001","249,999",0.0500
6,"250,000","499,999",0.0500
6,"500,000","999,999",0.0500
7,-,"49,999",0.1000
7,"50,001","249,999",0.1000
7,"250,000","499,999",0.1000
7,"500,000","999,999",0.1000
8,-,"49,999",0.1000
8,"50,001","249,999",0.1000
8,"250,000","499,999",0.1000
8,"500,000","999,999",0.1000
9,-,"49,999",0.1000
9,"50,001","249,999",0.1000
9,"250,000","499,999",0.1000
9,"500,000","999,999",0.1000
10,-,"49,999",0.1500
10,"50,001","249,999",0.1500
10,"250,000","499,999",0.1500
10,"500,000","999,999",0.1500
11,-,"49,999",0.1500
11,"50,001","249,999",0.1500
11,"250,000","499,999",0.1500
11,"500,000","999,999",0.1500
12,-,"49,999",0.1500
12,"50,001","249,999",0.1500
12,"250,000","499,999",0.1500
12,"500,000","999,999",0.1500
13,-,"49,999",0.2000
13,"50,001","249,999",0.2000
13,"250,000","499,999",0.2000
13,"500,000","999,999",0.2000
14,-,"49,999",0.2000
14,"50,001","249,999",0.2000
14,"250,000","499,999",0.2000
14,"500,000","999,999",0.2000
15,-,"49,999",0.2000
15,"50,001","249,999",0.2000
15,"250,000","499,999",0.2000
15,"500,000","999,999",0.2000
18,-,"49,999",0.2000
18,"50,001","249,999",0.2000
18,"250,000","499,999",0.2000
18,"500,000","999,999",0.2000
24,-,"49,999",0.2000
24,"50,001","249,999",0.2000
24,"250,000","499,999",0.2000
24,"500,000","999,999",0.2000
36,-,"49,999",0.5000
36,"50,001","249,999",0.5000
36,"250,000","499,999",0.5000
36,"500,000","999,999",0.5000
